x,y,z,a
3.97E+03,6.05E+05,6.83E+04,6.77E+05
3.97E+03,1.51E+05,9.57E+04,2.51E+05
3.97E+03,6.05E+05,9.57E+04,7.05E+05
3.97E+03,1.51E+05,1.23E+05,2.78E+05
3.97E+03,6.05E+05,1.23E+05,7.32E+05
3.97E+03,1.51E+05,1.50E+05,3.06E+05
3.97E+03,6.05E+05,1.50E+05,7.59E+05
1.06E+04,1.51E+05,1.50E+05,3.12E+05
1.06E+04,6.05E+05,1.50E+05,7.66E+05
3.97E+03,1.51E+05,9.11E+04,2.46E+05
3.97E+03,6.05E+05,9.11E+04,7.00E+05
3.97E+03,1.51E+05,1.28E+05,2.83E+05
3.97E+03,6.05E+05,1.28E+05,7.37E+05
3.97E+03,1.51E+05,1.64E+05,3.19E+05
3.97E+03,6.05E+05,1.64E+05,7.73E+05
3.97E+03,1.51E+05,2.00E+05,3.56E+05
3.97E+03,6.05E+05,2.00E+05,8.10E+05
1.06E+04,1.51E+05,2.00E+05,3.62E+05
1.06E+04,6.05E+05,2.00E+05,8.16E+05
3.97E+03,1.51E+05,3.04E+04,1.86E+05
3.97E+03,6.05E+05,3.04E+04,6.39E+05
3.97E+03,1.51E+05,4.25E+04,1.98E+05
3.97E+03,6.05E+05,4.25E+04,6.52E+05
3.97E+03,1.51E+05,4.56E+04,2.01E+05
3.97E+03,6.05E+05,4.56E+04,6.55E+05
3.97E+03,1.51E+05,6.38E+04,2.19E+05
3.97E+03,6.05E+05,6.38E+04,6.73E+05
3.97E+03,1.51E+05,8.20E+04,2.37E+05
3.97E+03,6.05E+05,8.20E+04,6.91E+05
3.97E+03,1.51E+05,1.00E+05,2.55E+05
3.97E+03,6.05E+05,1.00E+05,7.09E+05
1.06E+04,1.51E+05,1.00E+05,2.62E+05
1.06E+04,6.05E+05,1.00E+05,7.16E+05
3.97E+03,1.51E+05,6.08E+04,2.16E+05
3.97E+03,6.05E+05,6.08E+04,6.70E+05
3.97E+03,1.51E+05,8.51E+04,2.40E+05
3.97E+03,6.05E+05,8.51E+04,6.94E+05
3.97E+03,1.51E+05,1.09E+05,2.65E+05
3.97E+03,6.05E+05,1.09E+05,7.18E+05
3.97E+03,1.51E+05,1.34E+05,2.89E+05
3.97E+03,6.05E+05,1.34E+05,7.43E+05
1.06E+04,1.51E+05,1.34E+05,2.96E+05
1.06E+04,6.05E+05,1.34E+05,7.49E+05
3.97E+03,1.51E+05,1.58E+05,3.13E+05
3.97E+03,6.05E+05,1.58E+05,7.67E+05
1.06E+04,1.51E+05,1.58E+05,3.20E+05
1.06E+04,6.05E+05,1.58E+05,7.74E+05
