x,y,z,a
1.59E+04,0.00E+00,4.89E+05,5.05E+05
1.59E+04,0.00E+00,6.85E+05,7.01E+05
1.59E+04,0.00E+00,6.85E+05,7.01E+05
1.59E+04,0.00E+00,8.80E+05,8.96E+05
1.59E+04,0.00E+00,8.80E+05,8.96E+05
1.59E+04,0.00E+00,1.08E+06,1.09E+06
1.59E+04,0.00E+00,1.08E+06,1.09E+06
1.59E+04,0.00E+00,1.08E+06,1.09E+06
1.59E+04,0.00E+00,1.08E+06,1.09E+06
1.59E+04,0.00E+00,7.34E+05,7.49E+05
1.59E+04,0.00E+00,7.34E+05,7.49E+05
1.59E+04,0.00E+00,1.03E+06,1.04E+06
1.59E+04,0.00E+00,1.03E+06,1.04E+06
1.59E+04,0.00E+00,1.32E+06,1.34E+06
1.59E+04,0.00E+00,1.32E+06,1.34E+06
1.59E+04,0.00E+00,1.61E+06,1.63E+06
1.59E+04,0.00E+00,1.61E+06,1.63E+06
1.59E+04,0.00E+00,1.61E+06,1.63E+06
1.59E+04,0.00E+00,1.61E+06,1.63E+06
1.59E+04,0.00E+00,3.49E+03,1.94E+04
1.59E+04,0.00E+00,3.49E+03,1.94E+04
1.59E+04,0.00E+00,4.89E+03,2.08E+04
1.59E+04,0.00E+00,4.89E+03,2.08E+04
1.59E+04,0.00E+00,5.16E+03,2.11E+04
1.59E+04,0.00E+00,5.16E+03,2.11E+04
1.59E+04,0.00E+00,7.23E+03,2.31E+04
1.59E+04,0.00E+00,7.23E+03,2.31E+04
1.59E+04,0.00E+00,9.30E+03,2.52E+04
1.59E+04,0.00E+00,9.30E+03,2.52E+04
1.59E+04,0.00E+00,1.14E+04,2.72E+04
1.59E+04,0.00E+00,1.14E+04,2.72E+04
1.59E+04,0.00E+00,1.14E+04,2.72E+04
1.59E+04,0.00E+00,1.14E+04,2.72E+04
1.59E+04,0.00E+00,7.29E+03,2.32E+04
1.59E+04,0.00E+00,7.29E+03,2.32E+04
1.59E+04,0.00E+00,1.02E+04,2.61E+04
1.59E+04,0.00E+00,1.02E+04,2.61E+04
1.59E+04,0.00E+00,1.31E+04,2.90E+04
1.59E+04,0.00E+00,1.31E+04,2.90E+04
1.59E+04,0.00E+00,1.60E+04,3.19E+04
1.59E+04,0.00E+00,1.60E+04,3.19E+04
1.59E+04,0.00E+00,1.60E+04,3.19E+04
1.59E+04,0.00E+00,1.60E+04,3.19E+04
1.59E+04,0.00E+00,1.90E+04,3.48E+04
1.59E+04,0.00E+00,1.90E+04,3.48E+04
1.59E+04,0.00E+00,1.90E+04,3.48E+04
1.59E+04,0.00E+00,1.90E+04,3.48E+04
